LAMBX (hm);LAMBY (hm);LAT_DG;LON_DG
600;24010;48,3822;-4,96118
760;24170;48,5386;-4,76561
760;24090;48,467;-4,75585
760;24010;48,3953;-4,74612
760;23930;48,3237;-4,73641
760;23610;48,0371;-4,69785
840;24170;48,545;-4,65775
840;24090;48,4734;-4,64814
840;24010;48,4017;-4,63855
840;23930;48,3301;-4,62899
840;23850;48,2585;-4,61945
840;23610;48,0435;-4,59101
840;23530;47,9718;-4,58158
920;24250;48,623;-4,55935
920;24170;48,5514;-4,54986
920;24090;48,4797;-4,54039
920;24010;48,4081;-4,53095
920;23930;48,3364;-4,52154
920;23850;48,2648;-4,51215
920;23770;48,1931;-4,50279
920;23610;48,0498;-4,48414
920;23530;47,9781;-4,47485
1000;24250;48,6293;-4,45129
1000;24170;48,5576;-4,44194
1000;24090;48,486;-4,43262
1000;24010;48,4143;-4,42333
1000;23930;48,3426;-4,41406
1000;23850;48,271;-4,40482
1000;23770;48,1993;-4,3956
1000;23690;48,1276;-4,38641
1000;23610;48,056;-4,37724
1000;23530;47,9843;-4,3681
1000;23450;47,9126;-4,35898
1000;23370;47,8409;-4,34988
1000;23290;47,7692;-4,34082
1080;24250;48,6354;-4,3432
1080;24170;48,5638;-4,334
1080;24090;48,4921;-4,32483
1080;24010;48,4204;-4,31568
1080;23930;48,3488;-4,30656
1080;23850;48,2771;-4,29746
1080;23770;48,2054;-4,28839
1080;23690;48,1337;-4,27934
1080;23610;48,0621;-4,27032
1080;23530;47,9904;-4,26132
1080;23450;47,9187;-4,25235
1080;23370;47,847;-4,24339
1080;23290;47,7753;-4,23447
1160;24250;48,6415;-4,23508
1160;24170;48,5698;-4,22603
1160;24090;48,4981;-4,21701
1160;24010;48,4265;-4,20801
1160;23930;48,3548;-4,19903
1160;23850;48,2831;-4,19008
1160;23770;48,2114;-4,18115
1160;23690;48,1397;-4,17225
1160;23610;48,068;-4,16337
1160;23530;47,9964;-4,15452
1160;23450;47,9247;-4,14569
1160;23370;47,853;-4,13688
1160;23290;47,7812;-4,1281
1240;24330;48,7191;-4,13587
1240;24250;48,6474;-4,12694
1240;24170;48,5758;-4,11804
1240;24090;48,5041;-4,10916
1240;24010;48,4324;-4,10031
1240;23930;48,3607;-4,09148
1240;23850;48,289;-4,08267
1240;23770;48,2173;-4,07389
1240;23690;48,1456;-4,06514
1240;23610;48,0739;-4,0564
1240;23530;48,0022;-4,04769
1240;23450;47,9305;-4,03901
1240;23370;47,8588;-4,03034
1320;24330;48,725;-4,02756
1320;24250;48,6533;-4,01878
1320;24170;48,5816;-4,01003
1320;24090;48,5099;-4,00129
1320;24010;48,4382;-3,99259
1320;23930;48,3666;-3,9839
1320;23850;48,2948;-3,97524
1320;23770;48,2232;-3,96661
1320;23690;48,1515;-3,958
1320;23610;48,0797;-3,94941
1320;23530;48,008;-3,94084
1320;23450;47,9363;-3,9323
1320;23370;47,8646;-3,92378
1400;24330;48,7307;-3,91922
1400;24250;48,659;-3,91059
1400;24170;48,5874;-3,90198
1400;24090;48,5157;-3,8934
1400;24010;48,444;-3,88484
1400;23930;48,3723;-3,8763
1400;23850;48,3006;-3,86779
1400;23770;48,2289;-3,8593
1400;23690;48,1572;-3,85083
1400;23610;48,0854;-3,84239
1400;23530;48,0137;-3,83397
1400;23450;47,942;-3,82557
